,class,count,sum,aspect,elevation_below,year,percent_snow_cover,km2_snow,km2_all
189,180_3100,939,85,180,3100,2017,0.0905218317358892,0.8500000000000002,9.390000000000002
190,180_1600,7358,0,180,1600,2017,0.0,0.0,73.58000000000001
191,0_4500,0,0,0,4500,2017,,0.0,0.0
192,180_3900,0,0,180,3900,2017,,0.0,0.0
193,0_2200,5614,3,0,2200,2017,0.0005343783398646,0.03,56.14000000000001
194,90_2500,4447,7,90,2500,2017,0.0015740948954351,0.07,44.470000000000006
195,315_2000,7244,5,315,2000,2017,0.0006902263942573,0.05,72.44000000000001
196,135_2300,5492,3,135,2300,2017,0.0005462490895848,0.03,54.92000000000001
197,270_2200,6373,1,270,2200,2017,0.0001569119723834,0.01,63.73000000000001
198,270_4500,0,0,270,4500,2017,,0.0,0.0
199,45_3300,524,201,45,3300,2017,0.383587786259542,2.01,5.240000000000001
200,90_4000,0,0,90,4000,2017,,0.0,0.0
201,225_3700,2,0,225,3700,2017,0.0,0.0,0.02
202,315_2800,3213,78,315,2800,2017,0.0242763772175536,0.7800000000000001,32.13000000000001
203,315_1700,8090,0,315,1700,2017,0.0,0.0,80.90000000000002
204,45_1800,6573,0,45,1800,2017,0.0,0.0,65.73000000000002
205,180_2000,6074,1,180,2000,2017,0.0001646361540994,0.01,60.74000000000001
206,0_3400,245,119,0,3400,2017,0.4857142857142857,1.1900000000000002,2.4500000000000006
207,0_1900,6671,0,0,1900,2017,0.0,0.0,66.71000000000001
208,180_2800,2162,9,180,2800,2017,0.0041628122109158,0.09,21.620000000000005
209,90_3700,7,3,90,3700,2017,0.4285714285714285,0.03,0.07
210,135_3500,60,27,135,3500,2017,0.45,0.2700000000000001,0.6000000000000001
211,270_1900,7123,1,270,1900,2017,0.0001403902849922,0.01,71.23000000000002
212,315_3200,1001,341,315,3200,2017,0.3406593406593406,3.4100000000000006,10.010000000000002
213,270_3400,189,67,270,3400,2017,0.3544973544973545,0.6700000000000002,1.8900000000000003
214,45_2100,5815,2,45,2100,2017,0.0003439380911435,0.02,58.15000000000001
215,225_2600,3790,16,225,2600,2017,0.004221635883905,0.16,37.900000000000006
216,225_1700,5538,0,225,1700,2018,0.0,0.0,55.38000000000001
217,45_2500,4676,3,45,2500,2018,0.0006415739948674,0.03,46.76000000000001
218,180_3400,166,44,180,3400,2018,0.2650602409638554,0.44,1.6600000000000004
219,135_2600,3802,4,135,2600,2018,0.0010520778537611,0.04,38.02000000000001
220,0_2900,2531,316,0,2900,2018,0.1248518372184907,3.1600000000000006,25.31000000000001
221,180_1900,6190,0,180,1900,2018,0.0,0.0,61.90000000000001
222,0_2100,6027,0,0,2100,2018,0.0,0.0,60.27000000000001
223,90_2200,6087,0,90,2200,2018,0.0,0.0,60.87000000000001
224,90_4500,0,0,90,4500,2018,,0.0,0.0
225,315_2300,6179,0,315,2300,2018,0.0,0.0,61.79000000000001
226,270_2500,5218,4,270,2500,2018,0.0007665772326561,0.04,52.18000000000001
227,225_3200,634,89,225,3200,2018,0.140378548895899,0.8900000000000001,6.340000000000002
228,270_4000,0,0,270,4000,2018,,0.0,0.0
229,225_2900,1838,25,225,2900,2018,0.0136017410228509,0.25,18.380000000000003
230,180_2300,4910,2,180,2300,2018,0.00040733197556,0.02,49.10000000000001
231,45_3600,9,6,45,3600,2018,0.6666666666666666,0.06,0.09
232,135_1500,59259,0,135,1500,2018,0.0,0.0,592.5900000000001
233,135_3800,1,0,135,3800,2018,0.0,0.0,0.01
234,0_1800,6962,0,0,1800,2018,0.0,0.0,69.62000000000002
235,90_1900,6982,1,90,1900,2018,0.0001432254368375,0.01,69.82000000000001
236,135_3000,1384,46,135,3000,2018,0.0332369942196531,0.4600000000000001,13.840000000000003
237,0_3300,586,223,0,3300,2018,0.3805460750853242,2.2300000000000004,5.860000000000001
238,270_3700,5,1,270,3700,2018,0.2,0.01,0.05
239,90_3400,206,89,90,3400,2018,0.4320388349514563,0.8900000000000001,2.0600000000000005
240,315_3500,72,23,315,3500,2018,0.3194444444444444,0.23,0.7200000000000002
241,225_2100,4810,0,225,2100,2018,0.0,0.0,48.10000000000001
242,225_3900,0,0,225,3900,2018,,0.0,0.0
243,45_2400,4792,12,45,2400,2018,0.0025041736227045,0.12,47.92000000000001
244,180_3300,429,90,180,3300,2018,0.2097902097902098,0.9000000000000001,4.290000000000001
245,180_1800,6640,0,180,1800,2018,0.0,0.0,66.40000000000002
246,0_2800,3238,167,0,2800,2018,0.0515750463248919,1.6700000000000004,32.38000000000001
247,135_4000,0,0,135,4000,2018,,0.0,0.0
248,135_2500,4361,6,135,2500,2018,0.0013758312313689,0.06,43.61000000000001
249,0_2000,6474,1,0,2000,2018,0.0001544640098856,0.01,64.74000000000001
250,90_2300,5643,3,90,2300,2018,0.0005316321105794,0.03,56.430000000000014
251,315_2200,6775,0,315,2200,2018,0.0,0.0,67.75000000000001
252,315_4500,0,0,315,4500,2018,,0.0,0.0
253,270_2400,5870,1,270,2400,2018,0.0001703577512776,0.01,58.70000000000001
254,225_1600,5779,0,225,1600,2018,0.0,0.0,57.79000000000001
255,225_3100,1007,97,225,3100,2018,0.096325719960278,0.9700000000000002,10.070000000000002
256,225_2800,2465,5,225,2800,2018,0.0020283975659229,0.05,24.65000000000001
257,180_4500,0,0,180,4500,2018,,0.0,0.0
258,180_2200,5159,0,180,2200,2018,0.0,0.0,51.59000000000001
259,45_3500,63,29,45,3500,2018,0.4603174603174603,0.29,0.6300000000000001
260,135_3700,5,4,135,3700,2018,0.8,0.04,0.05
261,0_1700,7320,0,0,1700,2018,0.0,0.0,73.20000000000002
262,90_3500,64,32,90,3500,2018,0.5,0.32,0.6400000000000001
263,0_3200,1035,383,0,3200,2018,0.370048309178744,3.830000000000001,10.35
264,45_2300,5331,4,45,2300,2018,0.0007503282686175,0.04,53.31000000000001
265,315_3400,228,72,315,3400,2018,0.3157894736842105,0.7200000000000002,2.28
266,270_3600,6,0,270,3600,2018,0.0,0.0,0.06
267,225_2000,4969,0,225,2000,2018,0.0,0.0,49.69000000000001
268,315_1900,7684,0,315,1900,2018,0.0,0.0,76.84000000000002
269,45_2700,3600,33,45,2700,2018,0.0091666666666666,0.33,36.00000000000001
270,225_1900,5318,0,225,1900,2018,0.0,0.0,53.18000000000001
271,135_2800,2477,7,135,2800,2018,0.0028259991925716,0.07,24.770000000000003
272,180_3600,14,1,180,3600,2018,0.0714285714285714,0.01,0.14
273,0_2700,3882,40,0,2700,2018,0.0103039670273055,0.4000000000000001,38.82000000000001
274,135_2000,6408,0,135,2000,2018,0.0,0.0,64.08000000000001
275,90_2800,2628,21,90,2800,2018,0.0079908675799086,0.21,26.280000000000005
276,270_2700,3510,10,270,2700,2018,0.0028490028490028,0.1,35.10000000000001
277,315_4000,0,0,315,4000,2018,,0.0,0.0
278,90_2000,6674,0,90,2000,2018,0.0,0.0,66.74000000000001
279,315_2500,4876,7,315,2500,2018,0.0014356029532403,0.07,48.76000000000001
280,45_3000,1749,274,45,3000,2018,0.1566609491137793,2.7400000000000007,17.490000000000002
281,225_3400,187,25,225,3400,2018,0.1336898395721925,0.25,1.8700000000000003
282,180_4000,0,0,180,4000,2018,,0.0,0.0
283,45_1500,51439,0,45,1500,2018,0.0,0.0,514.3900000000001
284,45_3800,0,0,45,3800,2018,,0.0,0.0
285,135_1700,7230,1,135,1700,2018,0.0001383125864453,0.01,72.30000000000001
286,180_2500,3733,5,180,2500,2018,0.001339405304045,0.05,37.330000000000005
287,0_1600,7916,3,0,1600,2018,0.0003789792824658,0.03,79.16000000000001
288,0_3900,0,0,0,3900,2018,,0.0,0.0
289,135_3200,775,186,135,3200,2018,0.24,1.8600000000000003,7.750000000000002
290,270_1600,6992,0,270,1600,2018,0.0,0.0,69.92000000000002
291,90_1700,6826,0,90,1700,2018,0.0,0.0,68.26000000000002
292,0_3100,1406,418,0,3100,2018,0.2972972972972973,4.180000000000001,14.060000000000002
293,270_3900,0,0,270,3900,2018,,0.0,0.0
294,90_3200,897,250,90,3200,2018,0.2787068004459309,2.5000000000000004,8.970000000000002
295,315_3700,5,2,315,3700,2018,0.4,0.02,0.05
296,225_2300,4678,1,225,2300,2018,0.0002137665669089,0.01,46.78000000000001
297,270_3100,1147,191,270,3100,2018,0.1665213600697471,1.9100000000000004,11.470000000000002
298,225_1800,5458,0,225,1800,2018,0.0,0.0,54.58000000000001
299,45_2600,4047,5,45,2600,2018,0.0012354830738818,0.05,40.470000000000006
300,0_2600,4177,14,0,2600,2018,0.0033516878142207,0.14,41.77000000000001
301,180_3500,59,24,180,3500,2018,0.4067796610169492,0.24,0.5900000000000001
302,135_2700,3038,8,135,2700,2018,0.0026333113890717,0.08,30.38000000000001
303,90_2900,2018,60,90,2900,2018,0.0297324083250743,0.6000000000000001,20.180000000000003
304,270_2600,4549,2,270,2600,2018,0.0004396570674873,0.02,45.49000000000001
305,90_2100,6391,0,90,2100,2018,0.0,0.0,63.91000000000001
306,315_2400,5516,3,315,2400,2018,0.0005438723712835,0.03,55.16000000000001
307,225_3300,369,72,225,3300,2018,0.1951219512195122,0.7200000000000002,3.690000000000001
308,45_3700,2,1,45,3700,2018,0.5,0.01,0.02
309,0_1500,65981,0,0,1500,2018,0.0,0.0,659.8100000000002
310,180_2400,4275,4,180,2400,2018,0.0009356725146198,0.04,42.75000000000001
311,135_3900,0,0,135,3900,2018,,0.0,0.0
312,135_1600,7489,0,135,1600,2018,0.0,0.0,74.89000000000001
313,0_3800,0,0,0,3800,2018,,0.0,0.0
314,135_3100,1097,144,135,3100,2018,0.1312670920692798,1.4400000000000004,10.970000000000002
315,90_1800,6895,0,90,1800,2018,0.0,0.0,68.95000000000002
316,270_1500,50205,0,270,1500,2018,0.0,0.0,502.0500000000001
317,270_3800,3,2,270,3800,2018,0.6666666666666666,0.02,0.03
318,90_3300,543,181,90,3300,2018,0.3333333333333333,1.8100000000000005,5.4300000000000015
319,0_3000,1980,469,0,3000,2018,0.2368686868686868,4.690000000000001,19.800000000000004
320,315_3600,16,8,315,3600,2018,0.5,0.08,0.16
321,270_3000,1616,164,270,3000,2018,0.1014851485148514,1.6400000000000003,16.160000000000004
322,45_4000,0,0,45,4000,2018,,0.0,0.0
323,225_4500,0,0,225,4500,2018,,0.0,0.0
324,225_2200,4853,0,225,2200,2018,0.0,0.0,48.53000000000001
325,45_2900,2271,219,45,2900,2018,0.0964332892998679,2.1900000000000004,22.710000000000004
326,180_3000,1313,67,180,3000,2018,0.051028179741051,0.6700000000000002,13.130000000000004
327,0_2500,4419,8,0,2500,2018,0.0018103643358225,0.08,44.19000000000001
328,180_1500,59986,0,180,1500,2018,0.0,0.0,599.8600000000001
329,180_3800,0,0,180,3800,2018,,0.0,0.0
330,0_4000,0,0,0,4000,2018,,0.0,0.0
331,90_2600,3965,6,90,2600,2018,0.0015132408575031,0.06,39.650000000000006
332,135_2200,5791,0,135,2200,2018,0.0,0.0,57.91000000000001
