,class,count,sum,aspect,elevation_below,year,state,percent_snow_cover,km2_snow,km2_all
146,225_3500,7,3,225,3500,2018,Kärnten,0.42857142857142855,0.030000000000000006,0.07
147,45_3100,172,71,45,3100,2018,Kärnten,0.4127906976744186,0.7100000000000002,1.7200000000000004
148,315_2600,730,0,315,2600,2018,Kärnten,0.0,0.0,7.300000000000002
149,270_2000,2681,0,270,2000,2018,Kärnten,0.0,0.0,26.810000000000006
150,315_1500,75377,0,315,1500,2018,Kärnten,0.0,0.0,753.7700000000001
151,45_3900,0,0,45,3900,2018,Kärnten,,0.0,0.0
152,45_1600,5423,0,45,1600,2018,Kärnten,0.0,0.0,54.23000000000001
153,135_1800,4185,0,135,1800,2018,Kärnten,0.0,0.0,41.85000000000001
154,0_3600,4,0,0,3600,2018,Kärnten,0.0,0.0,0.04000000000000001
155,180_2600,1380,0,180,2600,2018,Kärnten,0.0,0.0,13.800000000000002
156,90_1600,4893,0,90,1600,2018,Kärnten,0.0,0.0,48.93000000000001
157,90_3900,0,0,90,3900,2018,Kärnten,,0.0,0.0
158,270_1700,3790,0,270,1700,2018,Kärnten,0.0,0.0,37.900000000000006
159,315_3000,123,6,315,3000,2018,Kärnten,0.04878048780487805,0.06000000000000001,1.2300000000000002
160,135_3300,40,30,135,3300,2018,Kärnten,0.75,0.30000000000000004,0.4000000000000001
161,90_3100,173,110,90,3100,2018,Kärnten,0.6358381502890174,1.1000000000000003,1.7300000000000004
162,225_2400,1774,0,225,2400,2018,Kärnten,0.0,0.0,17.740000000000002
163,315_3800,0,0,315,3800,2018,Kärnten,,0.0,0.0
164,270_3200,44,3,270,3200,2018,Kärnten,0.06818181818181818,0.030000000000000006,0.44000000000000006
165,180_3200,91,38,180,3200,2018,Kärnten,0.4175824175824176,0.38000000000000006,0.9100000000000001
166,0_2300,1401,0,0,2300,2018,Kärnten,0.0,0.0,14.010000000000003
167,180_1700,5283,0,180,1700,2018,Kärnten,0.0,0.0,52.83000000000001
168,225_3000,252,41,225,3000,2018,Kärnten,0.1626984126984127,0.4100000000000001,2.5200000000000005
169,90_2400,1491,0,90,2400,2018,Kärnten,0.0,0.0,14.910000000000004
170,135_2400,1697,1,135,2400,2018,Kärnten,0.0005892751915144372,0.010000000000000002,16.970000000000002
171,315_2100,2216,0,315,2100,2018,Kärnten,0.0,0.0,22.160000000000004
172,45_3400,49,26,45,3400,2018,Kärnten,0.5306122448979592,0.26000000000000006,0.4900000000000001
173,270_2300,1354,0,270,2300,2018,Kärnten,0.0,0.0,13.540000000000003
174,225_1500,90845,0,225,1500,2018,Kärnten,0.0,0.0,908.4500000000002
175,225_3800,0,0,225,3800,2018,Kärnten,,0.0,0.0
176,315_2900,253,11,315,2900,2018,Kärnten,0.043478260869565216,0.11000000000000001,2.5300000000000007
